,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code
28531,1903_24_TeamNA_TeamA1,156,43.0,156,4904269,5,2
28574,1903_24_TeamNA_TeamA1,164,46.0,164,5208719,5,2
28594,1903_24_TeamNA_TeamA1,168,48.0,168,5414869,5,2
28734,1903_24_TeamNA_TeamA1,203,59.0,203,6643619,3,2
28748,1903_24_TeamNA_TeamA1,206,60.0,206,6708519,3,2
28754,1903_24_TeamNA_TeamA1,207,61.0,207,6741969,5,2
28818,1903_03_TeamNE_TeamA2,3,1.0,3,28528,3,2
28871,1903_03_TeamNE_TeamA2,19,4.0,19,370328,6,2
28890,1903_03_TeamNE_TeamA2,23,6.0,23,579528,3,2
28932,1903_03_TeamNE_TeamA2,33,9.0,33,893028,3,2
28951,1903_03_TeamNE_TeamA2,36,11.0,36,985678,6,2
29006,1903_03_TeamNE_TeamA2,52,14.0,52,1381528,6,2
29020,1903_03_TeamNE_TeamA2,55,15.0,55,1433078,4,2
29058,1903_03_TeamNE_TeamA2,62,18.0,62,1729028,4,2
29160,1903_03_TeamNE_TeamA2,90,25.0,91,2604678,5,2
29168,1903_03_TeamNE_TeamA2,91,26.0,92,2638078,3,2
29187,1903_03_TeamNE_TeamA2,96,27.0,97,2731578,6,2
29298,1903_03_TeamNE_TeamA2,128,34.0,129,3630978,5,2
29373,1903_03_TeamNE_TeamA2,148,39.0,149,4335328,4,2
29382,1903_03_TeamNE_TeamA2,149,40.0,150,4492378,3,2
29456,1903_03_TeamNE_TeamA2,166,45.0,167,5037728,6,2
29482,1903_03_TeamNE_TeamA2,173,47.0,174,5189178,5,2
29497,1903_03_TeamNE_TeamA2,176,48.0,177,5363678,4,2
29533,1903_03_TeamNE_TeamA2,186,51.0,187,5609578,5,2
29635,1903_03_TeamNE_TeamA2,214,57.0,215,6773428,5,2
29692,1903_03_TeamNE_TeamA2,231,62.0,232,7385728,5,2
29736,1903_03_TeamNE_TeamA2,243,64.0,244,7762578,3,2
29792,1903_03_TeamNE_TeamA2,260,68.0,261,8268278,3,2
29848,1903_03_TeamNE_TeamA2,274,73.0,275,8860378,6,2
29916,1903_03_TeamNE_TeamA2,289,79.0,291,9681378,6,2
29948,1903_03_TeamNE_TeamA2,296,80.0,298,9901878,3,2
29972,1903_12_TeamNC_TeamA1,6,2.0,6,160548,3,2
30034,1903_12_TeamNC_TeamA1,24,6.0,24,744698,4,2
30081,1903_12_TeamNC_TeamA1,35,8.0,35,1072848,5,2
30113,1903_12_TeamNC_TeamA1,44,10.0,44,1357598,4,2
30127,1903_12_TeamNC_TeamA1,48,11.0,48,1552548,3,2
30183,1903_12_TeamNC_TeamA1,63,15.0,63,2040104,5,2
30191,1903_12_TeamNC_TeamA1,64,16.0,64,2084054,6,2
30255,1903_12_TeamNC_TeamA1,81,20.0,81,2625554,4,2
30288,1903_12_TeamNC_TeamA1,90,22.0,90,2934954,3,2
30325,1903_12_TeamNC_TeamA1,100,25.0,100,3277254,5,2
30340,1903_12_TeamNC_TeamA1,103,26.0,103,3344104,3,2
30384,1903_12_TeamNC_TeamA1,115,29.0,115,3773254,4,2
30410,1903_12_TeamNC_TeamA1,121,30.0,121,3881404,4,2
30444,1903_12_TeamNC_TeamA1,130,33.0,130,4266954,4,2
30711,1903_12_TeamNC_TeamA1,201,53.0,202,7295254,6,2
30738,1903_12_TeamNC_TeamA1,208,55.0,209,7572404,6,2
30753,1903_12_TeamNC_TeamA1,211,56.0,212,7659404,6,2
30782,1903_12_TeamNC_TeamA1,218,57.0,219,7983154,4,2
30844,1903_12_TeamNC_TeamA1,237,62.0,239,8704754,6,2
30894,1903_09_TeamNJ_TeamB,15,3.0,16,343484,6,2
31025,1903_09_TeamNJ_TeamB,50,9.0,51,1484634,4,2
31054,1903_09_TeamNJ_TeamB,58,11.0,59,1729084,4,2
31065,1903_09_TeamNJ_TeamB,60,15.0,61,2382515,5,2
31235,1903_09_TeamNJ_TeamB,107,26.0,108,4003165,3,2
31248,1903_09_TeamNJ_TeamB,110,27.0,111,4064215,5,2
31257,1903_09_TeamNJ_TeamB,111,28.0,112,4103915,6,2
31287,1903_09_TeamNJ_TeamB,119,31.0,120,4466965,4,2
31345,1903_09_TeamNJ_TeamB,133,35.0,134,4918815,4,2
31432,1903_09_TeamNJ_TeamB,156,41.0,158,5984715,3,2
31511,1903_09_TeamNJ_TeamB,173,46.0,175,6617115,4,2
31558,1903_09_TeamNJ_TeamB,186,50.0,189,7207415,4,2
31591,1903_09_TeamNJ_TeamB,193,53.0,196,7467015,5,2
31653,1903_09_TeamNJ_TeamB,211,57.0,214,8130265,4,2
31801,1903_09_TeamNJ_TeamB,249,68.0,252,9586165,6,2
31832,1903_09_TeamNJ_TeamB,257,70.0,260,9921815,5,2
31857,1903_09_TeamNJ_TeamB,263,71.0,266,10133265,4,2
31882,1903_09_TeamNJ_TeamB,270,74.0,273,10451315,5,2
31992,1903_19_TeamNL_TeamB,5,2.0,5,90901,3,2
32015,1903_19_TeamNL_TeamB,11,3.0,12,276201,6,2
32029,1903_19_TeamNL_TeamB,14,4.0,15,359451,6,2
32064,1903_19_TeamNL_TeamB,23,7.0,24,712751,6,2
32171,1903_19_TeamNL_TeamB,48,13.0,50,1486901,4,2
32215,1903_19_TeamNL_TeamB,58,17.0,60,1820251,4,2
32229,1903_19_TeamNL_TeamB,61,18.0,63,2004951,3,2
32255,1903_19_TeamNL_TeamB,67,20.0,69,2125451,4,2
32769,1903_19_TeamNL_TeamB,194,53.0,198,6681401,5,2
32808,1903_19_TeamNL_TeamB,205,55.0,209,7045151,5,2
33038,1903_19_TeamNL_TeamB,264,70.0,268,8979001,6,2
33049,1903_19_TeamNL_TeamB,265,71.0,269,9013301,6,2
33078,1903_19_TeamNL_TeamB,272,72.0,276,9170501,6,2
33221,1901_13_TeamLL_TeamB,5,,5,112925,4,2
33258,1901_13_TeamLL_TeamB,13,,13,294625,4,2
33450,1901_13_TeamLL_TeamB,69,,69,2132924,5,2
33683,1901_13_TeamLL_TeamB,136,,136,4243872,5,2
33694,1901_13_TeamLL_TeamB,138,,138,4287621,3,2
33702,1901_13_TeamLL_TeamB,140,,140,4339421,6,2
33805,1901_13_TeamLL_TeamB,164,,164,5267221,3,2
33844,1901_13_TeamLL_TeamB,174,,174,5804170,6,2
33867,1901_13_TeamLL_TeamB,180,,180,5965070,3,2
33879,1901_13_TeamLL_TeamB,183,,183,6135520,4,2
33915,1901_13_TeamLL_TeamB,193,,193,6479069,4,2
33926,1901_13_TeamLL_TeamB,195,,195,6691319,5,2
33962,1901_13_TeamLL_TeamB,204,,204,6901069,4,2
34065,1901_13_TeamLL_TeamB,233,,233,8047518,6,2
34229,1901_02_TeamLG_TeamA3,29,,29,865711,3,2
34243,1901_02_TeamLG_TeamA3,33,,33,977111,4,2
34339,1901_02_TeamLG_TeamA3,59,,59,1853611,4,2
34405,1901_02_TeamLG_TeamA3,76,,76,3522097,5,2
34475,1901_02_TeamLG_TeamA3,94,,94,4097546,3,2
34484,1901_02_TeamLG_TeamA3,96,,96,4146246,6,2
34550,1901_02_TeamLG_TeamA3,112,,112,4758546,6,2
34602,1901_02_TeamLG_TeamA3,125,,125,5202695,5,2
34635,1901_02_TeamLG_TeamA3,134,,134,5410345,6,2
34694,1901_02_TeamLG_TeamA3,150,,150,6157144,4,2
34968,1901_02_TeamLG_TeamA3,229,,229,8863692,6,2
34997,1901_02_TeamLG_TeamA3,236,,236,9198392,6,2
35162,1901_02_TeamLG_TeamA3,278,,278,10763090,5,2
35225,1901_02_TeamLG_TeamA3,296,,296,11315440,6,2
35311,1903_31_TeamNB_TeamA1,18,6.0,18,504742,5,2
35442,1903_31_TeamNB_TeamA1,53,16.0,53,1875288,6,2
35662,1903_31_TeamNB_TeamA1,113,32.0,115,3868038,5,2
35715,1903_31_TeamNB_TeamA1,124,35.0,126,4348288,6,2
35744,1903_31_TeamNB_TeamA1,132,37.0,134,4674138,6,2
35804,1903_31_TeamNB_TeamA1,150,42.0,152,5204688,4,2
36056,1903_31_TeamNB_TeamA1,221,59.0,224,7616238,5,2
36108,1903_31_TeamNB_TeamA1,233,63.0,236,8050988,5,2
36123,1903_31_TeamNB_TeamA1,236,64.0,239,8150488,5,2
36133,1903_31_TeamNB_TeamA1,238,65.0,242,8237238,3,2
36144,1903_31_TeamNB_TeamA1,241,66.0,245,8393288,4,2
36290,1903_31_TeamNB_TeamA1,284,76.0,289,9923188,4,2
36314,1903_31_TeamNB_TeamA1,290,78.0,295,10198638,4,2
36343,1903_31_TeamNB_TeamA1,297,80.0,302,10356788,4,2
36382,1901_09_TeamLK_TeamB,11,,11,526232,6,2
36390,1901_09_TeamLK_TeamB,12,,12,566032,6,2
36416,1901_09_TeamLK_TeamB,19,,19,826082,6,2
36487,1901_09_TeamLK_TeamB,38,,38,1316781,6,2
36504,1901_09_TeamLK_TeamB,42,,42,1525481,6,2
36539,1901_09_TeamLK_TeamB,50,,50,1923664,5,2
36556,1901_09_TeamLK_TeamB,53,,54,2161133,6,2
36643,1901_09_TeamLK_TeamB,78,,79,2875383,6,2
36700,1901_09_TeamLK_TeamB,91,,92,3469632,3,2
36721,1901_09_TeamLK_TeamB,96,,97,3685382,6,2
36877,1901_09_TeamLK_TeamB,143,,144,5511380,3,2
36937,1901_09_TeamLK_TeamB,160,,161,6061930,4,2
36993,1901_09_TeamLK_TeamB,176,,177,6648979,3,2
37063,1901_09_TeamLK_TeamB,193,,194,7363928,4,2
37098,1901_09_TeamLK_TeamB,203,,204,7602128,6,2
37108,1901_09_TeamLK_TeamB,205,,206,7775578,5,2
37120,1901_09_TeamLK_TeamB,207,,208,7825328,6,2
37228,1901_09_TeamLK_TeamB,241,,242,8927927,6,2
37266,1901_09_TeamLK_TeamB,251,,252,9337526,6,2
37537,1902_18_TeamMB_TeamA1,28,7.0,28,844654,6,2
37553,1902_18_TeamMB_TeamA1,31,8.0,31,950504,4,2
37616,1902_18_TeamMB_TeamA1,48,12.0,48,1542004,4,2
37677,1902_18_TeamMB_TeamA1,63,16.0,63,2168204,5,2
37691,1902_18_TeamMB_TeamA1,65,17.0,65,2296654,4,2
37720,1902_18_TeamMB_TeamA1,71,19.0,71,2527804,3,2
37737,1902_18_TeamMB_TeamA1,75,20.0,75,2719654,6,2
37775,1902_18_TeamMB_TeamA1,86,21.0,86,2945604,5,2
37812,1902_18_TeamMB_TeamA1,92,25.0,92,3253354,4,2
37833,1902_18_TeamMB_TeamA1,96,27.0,96,3464654,6,2
37889,1902_18_TeamMB_TeamA1,112,30.0,112,3950604,4,2
38028,1902_18_TeamMB_TeamA1,145,42.0,145,5172154,6,2
38038,1902_18_TeamMB_TeamA1,146,43.0,146,5214104,4,2
38079,1902_18_TeamMB_TeamA1,158,45.0,158,5741254,6,2
38189,1902_18_TeamMB_TeamA1,190,52.0,190,6859104,5,2
38205,1902_18_TeamMB_TeamA1,193,53.0,193,7112754,5,2
38218,1902_18_TeamMB_TeamA1,196,54.0,196,7191454,3,2
38367,1902_18_TeamMB_TeamA1,241,68.0,241,8885204,4,2
38669,1902_10_TeamMI_TeamA3,34,11.0,34,1306031,3,2
38788,1902_10_TeamMI_TeamA3,67,21.0,67,2388381,6,2
38883,1902_10_TeamMI_TeamA3,93,26.0,93,3188031,5,2
38932,1902_10_TeamMI_TeamA3,107,29.0,107,3683481,3,2
38958,1902_10_TeamMI_TeamA3,114,30.0,114,3943031,6,2
39071,1902_10_TeamMI_TeamA3,144,39.0,144,5030531,5,2
39145,1902_10_TeamMI_TeamA3,162,44.0,162,5792381,3,2
39175,1902_10_TeamMI_TeamA3,170,46.0,170,6076781,3,2
39198,1902_10_TeamMI_TeamA3,176,48.0,176,6331281,5,2
39396,1902_10_TeamMI_TeamA3,229,61.0,229,8380181,5,2
39498,1902_10_TeamMI_TeamA3,258,70.0,258,9487531,6,2
39532,1902_10_TeamMI_TeamA3,268,73.0,268,9872681,6,2
39591,1902_10_TeamMI_TeamA3,282,75.0,282,10360181,6,2
39652,1903_02_TeamNE_TeamA2,17,3.0,17,429975,3,2
39738,1903_02_TeamNE_TeamA2,39,10.0,39,1116325,5,2
39758,1903_02_TeamNE_TeamA2,42,12.0,42,1202325,4,2
39781,1903_02_TeamNE_TeamA2,46,14.0,46,1409175,6,2
39795,1903_02_TeamNE_TeamA2,49,15.0,49,1491375,5,2
39818,1903_02_TeamNE_TeamA2,55,16.0,55,1693175,5,2
39846,1903_02_TeamNE_TeamA2,62,20.0,62,2163591,6,2
39857,1903_02_TeamNE_TeamA2,64,27.0,64,2859596,3,2
39884,1903_02_TeamNE_TeamA2,72,31.0,72,3221587,6,2
39974,1903_02_TeamNE_TeamA2,96,38.0,96,4104537,6,2
40101,1903_02_TeamNE_TeamA2,136,47.0,137,5477187,6,2
40114,1903_02_TeamNE_TeamA2,138,48.0,139,5684337,6,2
40131,1903_02_TeamNE_TeamA2,141,49.0,142,5755537,4,2
40155,1903_02_TeamNE_TeamA2,147,50.0,148,5907887,4,2
40172,1903_02_TeamNE_TeamA2,151,51.0,152,6073137,5,2
40181,1903_02_TeamNE_TeamA2,152,52.0,153,6104587,6,2
40234,1903_02_TeamNE_TeamA2,168,55.0,169,6555787,5,2
40250,1903_02_TeamNE_TeamA2,171,57.0,172,6759837,5,2
40312,1903_02_TeamNE_TeamA2,184,61.0,185,7104687,6,2
40349,1903_02_TeamNE_TeamA2,194,64.0,195,7422387,6,2
40467,1902_26_TeamMC_TeamA1,8,6.0,8,606177,6,2
40510,1902_26_TeamMC_TeamA1,20,8.0,20,874727,3,2
40521,1902_26_TeamMC_TeamA1,22,9.0,22,1035827,3,2
40569,1902_26_TeamMC_TeamA1,34,13.0,34,1448277,3,2
40582,1902_26_TeamMC_TeamA1,37,14.0,37,1529427,5,2
40623,1902_26_TeamMC_TeamA1,48,16.0,48,1882327,4,2
40664,1902_26_TeamMC_TeamA1,56,18.0,56,2077877,6,2
40713,1902_26_TeamMC_TeamA1,71,21.0,71,2547277,3,2
40749,1902_26_TeamMC_TeamA1,77,24.0,77,2814877,6,2
40868,1902_26_TeamMC_TeamA1,109,32.0,109,3866827,4,2
40896,1902_26_TeamMC_TeamA1,115,34.0,115,4016327,5,2
40916,1902_26_TeamMC_TeamA1,120,35.0,120,4221277,6,2
41183,1902_26_TeamMC_TeamA1,188,51.0,188,6548677,4,2
41224,1902_26_TeamMC_TeamA1,199,55.0,199,7013427,6,2
41244,1902_26_TeamMC_TeamA1,204,57.0,204,7284477,5,2
41338,1902_26_TeamMC_TeamA1,230,63.0,230,8073627,5,2
41420,1902_26_TeamMC_TeamA1,254,69.0,254,8977277,5,2
41590,1903_26_TeamNK_TeamB,26,8.0,26,849279,4,2
41643,1903_26_TeamNK_TeamB,42,12.0,42,1300929,4,2
41706,1903_26_TeamNK_TeamB,59,15.0,59,1823229,6,2
41768,1903_26_TeamNK_TeamB,74,18.0,74,2276129,5,2
41780,1903_26_TeamNK_TeamB,76,19.0,76,2330979,6,2
41797,1903_26_TeamNK_TeamB,80,20.0,80,2419329,5,2
41943,1903_26_TeamNK_TeamB,118,33.0,121,3772179,6,2
42085,1903_26_TeamNK_TeamB,155,42.0,158,5158929,5,2
42148,1903_26_TeamNK_TeamB,172,45.0,175,5575229,6,2
42159,1903_26_TeamNK_TeamB,174,46.0,177,5758329,5,2
42195,1903_26_TeamNK_TeamB,183,48.0,186,5989779,6,2
42240,1903_26_TeamNK_TeamB,193,51.0,198,6403029,5,2
42271,1903_26_TeamNK_TeamB,199,53.0,204,6762679,4,2
42417,1903_26_TeamNK_TeamB,237,63.0,242,8090229,6,2
42429,1903_26_TeamNK_TeamB,239,64.0,244,8150929,6,2
42559,1902_24_TeamMA_TeamA1,10,3.0,10,260627,5,2
42579,1902_24_TeamMA_TeamA1,14,4.0,14,383981,4,2
42624,1902_24_TeamMA_TeamA1,27,6.0,27,779486,6,2
42640,1902_24_TeamMA_TeamA1,30,7.0,30,838457,4,2
42665,1902_24_TeamMA_TeamA1,36,8.0,36,992699,3,2
42690,1902_24_TeamMA_TeamA1,42,11.0,42,1260033,4,2
42748,1902_24_TeamMA_TeamA1,58,14.0,58,1813872,6,2
42781,1902_24_TeamMA_TeamA1,65,16.0,65,1980918,4,2
42815,1902_24_TeamMA_TeamA1,74,18.0,74,2318245,4,2
42825,1902_24_TeamMA_TeamA1,76,19.0,76,2365897,4,2
42866,1902_24_TeamMA_TeamA1,85,21.0,85,2599933,5,2
42883,1902_24_TeamMA_TeamA1,89,22.0,89,2805721,3,2
42946,1902_24_TeamMA_TeamA1,105,28.0,105,3379493,6,2
42996,1902_24_TeamMA_TeamA1,118,31.0,118,3820505,4,2
43074,1902_24_TeamMA_TeamA1,140,36.0,140,4696809,3,2
43079,1902_24_TeamMA_TeamA1,141,37.0,141,4736409,6,2
43297,1902_24_TeamMA_TeamA1,204,50.0,204,6850919,3,2
43382,1902_24_TeamMA_TeamA1,227,55.0,227,7724694,5,2
43411,1902_24_TeamMA_TeamA1,234,57.0,234,8047830,5,2
43437,1902_24_TeamMA_TeamA1,240,58.0,240,8241705,6,2
43516,1902_24_TeamMA_TeamA1,260,63.0,260,8963449,5,2
43579,1902_24_TeamMA_TeamA1,278,69.0,278,9526232,6,2
43599,1902_24_TeamMA_TeamA1,283,71.0,283,9762908,5,2
43608,1902_24_TeamMA_TeamA1,284,72.0,284,9800165,6,2
43775,1902_24_TeamMA_TeamA1,327,84.0,327,11473200,6,2
43890,1902_24_TeamMA_TeamA1,356,91.0,356,12437758,6,2
43937,1902_24_TeamMA_TeamA1,369,95.0,369,12918470,3,2
44079,1902_01_TeamMG_TeamA3,15,4.0,15,351593,4,2
44256,1902_01_TeamMG_TeamA3,64,16.0,64,1966443,6,2
44429,1902_01_TeamMG_TeamA3,113,28.0,113,3502693,5,2
44484,1902_01_TeamMG_TeamA3,125,,125,3876043,6,2
44662,1902_01_TeamMG_TeamA3,169,42.0,169,5282243,6,2
44748,1902_01_TeamMG_TeamA3,189,46.0,189,5973693,4,2
44766,1902_01_TeamMG_TeamA3,193,48.0,193,6179543,3,2
44779,1902_01_TeamMG_TeamA3,195,49.0,195,6230843,6,2
44798,1902_01_TeamMG_TeamA3,198,50.0,198,6357343,5,2
44850,1902_01_TeamMG_TeamA3,212,54.0,212,6851743,3,2
44982,1902_01_TeamMG_TeamA3,252,62.0,253,8281443,3,2
45263,1901_18_TeamLH_TeamA3,27,,29,875303,3,2
45278,1901_18_TeamLH_TeamA3,30,,32,1055752,6,2
45289,1901_18_TeamLH_TeamA3,32,,35,1101602,5,2
45386,1901_18_TeamLH_TeamA3,57,,62,1852602,6,2
45654,1901_18_TeamLH_TeamA3,127,,132,4194549,4,2
45835,1901_18_TeamLH_TeamA3,180,,185,5795998,4,2
46040,1901_18_TeamLH_TeamA3,234,,240,7959896,5,2
46091,1901_18_TeamLH_TeamA3,247,,253,8445095,3,2
46111,1901_18_TeamLH_TeamA3,252,,258,8602645,6,2
46126,1901_18_TeamLH_TeamA3,255,,261,8798695,4,2
46275,1901_03_TeamLG_TeamA3,15,,16,546279,3,2
46296,1901_03_TeamLG_TeamA3,21,,22,677679,5,2
46416,1901_03_TeamLG_TeamA3,56,,59,1803678,6,2
46453,1901_03_TeamLG_TeamA3,62,,65,2098928,6,2
46543,1901_03_TeamLG_TeamA3,88,,93,2933065,6,2
46553,1901_03_TeamLG_TeamA3,90,,95,2979015,5,2
46577,1901_03_TeamLG_TeamA3,96,,101,3105815,6,2
46650,1901_03_TeamLG_TeamA3,115,,123,3954214,3,2
46684,1901_03_TeamLG_TeamA3,122,,133,4356064,5,2
46697,1901_03_TeamLG_TeamA3,125,,136,4463363,6,2
46781,1901_03_TeamLG_TeamA3,144,,155,5092713,5,2
46795,1901_03_TeamLG_TeamA3,147,,158,5281163,4,2
46853,1901_03_TeamLG_TeamA3,162,,173,5697412,6,2
46876,1901_03_TeamLG_TeamA3,168,,180,5963712,6,2
46891,1901_03_TeamLG_TeamA3,171,,183,6023562,4,2
46921,1901_03_TeamLG_TeamA3,176,,188,6171812,5,2
46935,1901_03_TeamLG_TeamA3,179,,192,6422812,3,2
46947,1901_03_TeamLG_TeamA3,182,,195,6523112,6,2
47031,1901_03_TeamLG_TeamA3,205,,218,7680554,5,2
47132,1901_03_TeamLG_TeamA3,235,,249,8926703,5,2
47143,1901_03_TeamLG_TeamA3,237,,251,9003953,3,2
47217,1901_03_TeamLG_TeamA3,256,,270,9749002,6,2
47906,1902_14_TeamMK_TeamB,9,3.0,9,198685,6,2
47921,1902_14_TeamMK_TeamB,12,4.0,12,369185,3,2
47978,1902_14_TeamMK_TeamB,26,9.0,26,844285,6,2
48023,1902_14_TeamMK_TeamB,36,12.0,36,1116585,5,2
48292,1902_14_TeamMK_TeamB,104,29.0,104,3323485,4,2
48329,1902_14_TeamMK_TeamB,113,32.0,113,3625335,4,2
48351,1902_14_TeamMK_TeamB,118,33.0,118,3756435,6,2
48393,1902_14_TeamMK_TeamB,128,36.0,128,4099085,4,2
48485,1902_14_TeamMK_TeamB,150,43.0,150,4825935,3,2
48524,1902_14_TeamMK_TeamB,160,45.0,160,5155985,6,2
48711,1902_14_TeamMK_TeamB,206,55.0,206,6643935,4,2
48755,1902_14_TeamMK_TeamB,214,58.0,214,6919985,6,2
48984,1902_14_TeamMK_TeamB,275,72.0,275,8981085,4,2
49068,1902_14_TeamMK_TeamB,298,79.0,298,9800635,5,2
49229,1902_05_TeamML_TeamB,36,8.0,36,1134229,3,2
49256,1902_05_TeamML_TeamB,43,10.0,43,1362379,3,2
49313,1902_05_TeamML_TeamB,54,14.0,54,1743329,6,2
49647,1902_05_TeamML_TeamB,143,37.0,143,12243279,6,2
49654,1902_05_TeamML_TeamB,144,38.0,144,12391879,5,2
49663,1902_05_TeamML_TeamB,145,39.0,145,12449879,4,2
49698,1902_05_TeamML_TeamB,155,41.0,155,12764429,3,2
49871,1902_05_TeamML_TeamB,206,52.0,206,14562629,6,2
49914,1902_05_TeamML_TeamB,214,55.0,214,14788429,4,2
49936,1902_05_TeamML_TeamB,220,57.0,220,15101229,5,2
49959,1902_05_TeamML_TeamB,226,58.0,226,15215829,3,2
50161,1902_05_TeamML_TeamB,276,72.0,276,17236879,4,2
50265,1902_05_TeamML_TeamB,304,80.0,304,18285329,5,2
50292,1902_05_TeamML_TeamB,311,82.0,313,18626079,3,2
50331,1902_05_TeamML_TeamB,321,84.0,323,18899879,6,2
50404,1902_14_TeamMD_TeamA2,2,1.0,2,40897,4,2
50481,1902_14_TeamMD_TeamA2,21,8.0,21,630397,3,2
50512,1902_14_TeamMD_TeamA2,27,10.0,27,847247,4,2
50676,1902_14_TeamMD_TeamA2,66,21.0,66,2198326,6,2
50718,1902_14_TeamMD_TeamA2,76,24.0,76,2438176,6,2
50806,1902_14_TeamMD_TeamA2,98,30.0,98,3119826,3,2
50816,1902_14_TeamMD_TeamA2,100,32.0,100,3311226,4,2
50852,1902_14_TeamMD_TeamA2,110,34.0,110,3515576,4,2
50904,1902_14_TeamMD_TeamA2,121,38.0,121,3948376,5,2
50938,1902_14_TeamMD_TeamA2,130,41.0,130,4299376,4,2
50984,1902_14_TeamMD_TeamA2,143,44.0,143,4733326,6,2
50996,1902_14_TeamMD_TeamA2,144,45.0,144,4776426,4,2
51097,1902_14_TeamMD_TeamA2,173,50.0,173,5601776,4,2
51167,1902_14_TeamMD_TeamA2,192,55.0,192,6376428,4,2
51207,1902_14_TeamMD_TeamA2,199,58.0,199,6688028,4,2
51292,1902_14_TeamMD_TeamA2,221,65.0,221,7509578,4,2
51323,1902_14_TeamMD_TeamA2,229,67.0,229,7811015,6,2
51380,1902_14_TeamMD_TeamA2,245,72.0,245,8471915,6,2
51390,1902_14_TeamMD_TeamA2,247,73.0,247,8529065,5,2
51450,1902_14_TeamMD_TeamA2,263,77.0,263,9093365,4,2
51512,1902_14_TeamMD_TeamA2,280,81.0,280,9727415,5,2
51529,1902_14_TeamMD_TeamA2,284,82.0,284,9838365,4,2
51634,1902_14_TeamMD_TeamA2,314,,314,10903265,4,2
51681,1902_14_TeamMD_TeamA2,327,89.0,327,11389815,6,2
51736,1903_30_TeamNB_TeamA1,3,1.0,3,85884,5,2
51839,1903_30_TeamNB_TeamA1,29,7.0,29,832634,4,2
51953,1903_30_TeamNB_TeamA1,61,14.0,62,1855784,4,2
51968,1903_30_TeamNB_TeamA1,64,15.0,65,1912584,6,2
52002,1903_30_TeamNB_TeamA1,73,17.0,75,2121784,6,2
52093,1903_30_TeamNB_TeamA1,93,26.0,95,2875334,4,2
52152,1903_30_TeamNB_TeamA1,104,31.0,109,3319671,5,2
52194,1903_30_TeamNB_TeamA1,116,34.0,121,3672621,4,2
52296,1903_30_TeamNB_TeamA1,138,45.0,144,4536121,5,2
52372,1903_30_TeamNB_TeamA1,154,50.0,160,5107571,6,2
52394,1903_30_TeamNB_TeamA1,159,51.0,165,5218771,6,2
52446,1903_30_TeamNB_TeamA1,171,55.0,178,5662021,6,2
52586,1903_30_TeamNB_TeamA1,211,66.0,219,7332648,5,2
52617,1903_30_TeamNB_TeamA1,219,68.0,227,7476698,4,2
52798,1903_30_TeamNB_TeamA1,263,79.0,271,9002198,5,2
52823,1903_30_TeamNB_TeamA1,268,81.0,276,9113098,4,2
52863,1902_11_TeamMI_TeamA3,11,3.0,11,218402,4,2
53028,1902_11_TeamMI_TeamA3,53,13.0,53,1836702,4,2
53057,1902_11_TeamMI_TeamA3,59,14.0,59,2035652,5,2
53115,1902_11_TeamMI_TeamA3,70,17.0,70,2444252,6,2
53129,1902_11_TeamMI_TeamA3,73,18.0,73,2509002,4,2
53200,1902_11_TeamMI_TeamA3,93,22.0,93,3126752,3,2
53385,1902_11_TeamMI_TeamA3,144,34.0,144,4743852,6,2
53486,1902_11_TeamMI_TeamA3,175,41.0,175,5786652,4,2
53630,1902_11_TeamMI_TeamA3,212,50.0,212,7180702,4,2
53809,1902_11_TeamMI_TeamA3,267,61.0,267,9467702,6,2
55021,1901_06_TeamLI_TeamA3,30,,30,1005583,4,2
55075,1901_06_TeamLI_TeamA3,46,,46,1448283,6,2
55139,1901_06_TeamLI_TeamA3,64,,64,1972882,6,2
55167,1901_06_TeamLI_TeamA3,71,,71,2252382,4,2
55205,1901_06_TeamLI_TeamA3,79,,79,2604732,6,2
55369,1901_06_TeamLI_TeamA3,122,,123,4235630,3,2
55977,1902_27_TeamMH_TeamA3,57,14.0,57,1856122,4,2
56158,1902_27_TeamMH_TeamA3,104,26.0,104,3556422,6,2
56228,1902_27_TeamMH_TeamA3,124,29.0,124,4180872,3,2
56335,1902_27_TeamMH_TeamA3,151,36.0,151,5075672,6,2
56468,1902_27_TeamMH_TeamA3,191,47.0,191,6673972,5,2
56615,1902_27_TeamMH_TeamA3,237,57.0,237,7982872,3,2
56707,1902_27_TeamMH_TeamA3,265,62.0,265,8906822,5,2
56746,1902_27_TeamMH_TeamA3,272,65.0,272,9281622,3,2
56784,1902_27_TeamMH_TeamA3,282,68.0,282,9566022,4,2
57007,1903_05_TeamND_TeamA2,17,4.0,17,371162,5,2
57094,1903_05_TeamND_TeamA2,40,10.0,40,1156412,6,2
57158,1903_05_TeamND_TeamA2,57,13.0,57,1546612,4,2
57590,1903_05_TeamND_TeamA2,180,40.0,180,5556662,5,2
57632,1903_05_TeamND_TeamA2,190,42.0,190,5914162,4,2
57653,1903_05_TeamND_TeamA2,193,44.0,193,6019812,4,2
57690,1903_05_TeamND_TeamA2,204,46.0,204,6460962,4,2
57953,1903_05_TeamND_TeamA2,275,63.0,275,8857112,3,2
57984,1903_05_TeamND_TeamA2,281,65.0,281,9147612,4,2
58042,1903_05_TeamND_TeamA2,297,68.0,297,9644462,6,2
